authorDisplayName,videoId,textDisplay,likeCount,publishedAt,totalReplyCount
@anhtuanle1726,Z1D26z9l8y8,"Halo Dương 
Nếu em có thể đọc được đoạn bình luận anh nghĩ đó thực sự là điều rất may mắn đối với anh, hơn ai hết anh biết chuyện đôi ta đi đến được ngày hôm nay thật không dễ dàng gì, có những lời hứa sự nhiệt huyết, cố chấp cũng có cảu chàng trai năm ấy và sự ôn nhu dịu dàng ngày đó của em đã để lại cho anh một mốc thật đáng nhớ, đáng yêu, đáng để mơ, dẫu biết như thế nhưng bản thân anh cũng hiểu rõ rằng tình cảm cảu chúng ta không ổn, em đã dần chán như trước, anh cũng chẳng tìm thứ gì mới mẻ để giữ em lại, anh biết rằng ngay thời điểm này sự ưu tiên và chủ động của em không còn chỗ cho anh nữa, vậy nên anh lùi một bước, anh cũng suy nghĩ rất nhiều anh sẽ để lại cho em một khoảng không mới không còn bị hạn chế trong sự tù túng cảu tình cảm anh dành cho em nữa, có lẽ với anh tất cả chỉ như một giấc mơ mà anh trải qua hàng trăm lần vậy, tất cả mọi chuyện đều có vô số khả năng, mỗi một khả năng là một lựa chọn sẽ dẫn đến những kết quả khác nhau cho dù là nuối tiếc cũng là một cảm xúc độc nhất vô nhị . Tịnh an",0,2025-07-09T15:11:53Z,1
@khanhnamle3378,Z1D26z9l8y8,nhớ nyc quá,0,2025-07-09T03:21:56Z,0
@Hehe_vsbet,Z1D26z9l8y8,"Không phức tạp, không rối rắm – bài hát này đơn giản mà khiến người ta lặng đi.",0,2025-07-07T14:27:46Z,0
@KjhhjJhhkjh,Z1D26z9l8y8,"Thức giấc mỗi ngày là khi màn đêm vừa kéo về
Tiếng chuông ngân dài, nhưng vẫn không thấy một ai",0,2025-07-07T14:05:05Z,0
@thanhtruc_vsbet,Z1D26z9l8y8,"Tôi thích cách bạn kể chuyện qua từng câu hát, rất hấp dẫn.",0,2025-07-07T13:30:56Z,0
@kienhoang-ow7ld,Z1D26z9l8y8,"ơ, tại sao lại có Văn Toàn nhể🤔",0,2025-07-06T15:59:51Z,0
@SơnLêvăn-s5d,Z1D26z9l8y8,"Bọn mình yêu nhau 3 năm thời sinh viên, giờ nghĩ lại thật đẹp,  giờ 2 ng có cuộc sống riêng, cô ấy đang sống hạnh phúc, mình thấy vui cho ng ấy, mình tin sẽ có hạnh phúc đến với mình❤",1,2025-07-05T12:07:28Z,0
@tuananhnguyenle3058,Z1D26z9l8y8,"Giờ mới để ý, trong mv là văn toàn à mn :v",0,2025-07-05T06:31:20Z,1
@tklam2510,Z1D26z9l8y8,"Coi MV cứ cảm giác nếu bạn trai cũ mà lao ra thì đây sẽ thành vụ cướp hôn thế kỷ :v 
Tùy cảm nhận của từng người xem nhưng với mình thì chi tiết nhân vật nữ đưa mắt về nhân vật nam như thể đang chờ đợi điều gì, nó hơi bị ấy ấy ... Có thể chi tiết này đơn giản chỉ là Ai cũng có một thời thanh xuân cùng với một ai đó, nhưng mà đưa vào thấy cũng hơi kỳ nhẹ.

Còn phần nhạc thì ko có gì để chê. Upbeat đậm mùi nhạc anime, cách hát mộc và cách nhả chữ của Lam cũng rất ăn với cái vibe anime của bài này. Nhắm mắt nghe đoạn điệp khúc có thể tưởng tượng được cảnh 1 nhân vật anime chạy trên đồng cỏ rồi camera hướng lên trời, hiện ra tiêu đề phim :v",0,2025-07-05T05:37:49Z,0
@quangthailevo2940,Z1D26z9l8y8,"Sau nỗi đau từ “Em không hiểu”, “Em đã biết” rõ ràng là câu trả lời cho tất cả. Mười điểm cho chị Changgg",0,2025-07-05T04:49:49Z,0
@GiangHuệ-t7x,Z1D26z9l8y8,"Thức giấc mỗi ngày là khi màn đêm vừa kéo về
Tiếng chuông ngân dài, nhưng vẫn không thấy một ai",0,2025-07-04T17:04:25Z,0
@NhungMai-d4i,Z1D26z9l8y8,hãy sống với niềm vui,0,2025-07-03T10:25:55Z,0
@28goiga_vsbet,Z1D26z9l8y8,"Giai điệu này mang màu sắc rất riêng, quá hay cho một sản phẩm Việt.",0,2025-07-03T06:44:56Z,0
@mochi_vsbet,Z1D26z9l8y8,Nhạc làm mình nhớ lại một người – không còn bên mình nữa.,0,2025-07-02T16:01:07Z,0
@5banhtrangtron_vsbet,Z1D26z9l8y8,"Phong cách thể hiện khiến người nghe muốn replay mãi, tạo nên một không gian âm nhạc tuyệt vời.",0,2025-07-02T08:00:12Z,0
@xuancowvu9509,Z1D26z9l8y8,"vậy nội dung mv là gì 
khi cô gái đc tỏ tình sao vẫn nhìn chàng trai ấy
anh ấy cx cố mỉm cười để rồi cô đồng ý 
là sao",0,2025-07-01T03:13:05Z,0
@Hanabiiiiii,Z1D26z9l8y8,đỉnh thật sự,0,2025-06-30T13:20:12Z,0
@haaphuongg08,Z1D26z9l8y8,"em đã từng nghe một số bài hát của DaLAB và em thấy rằng những bài hát ấy đều khiến bản thân em cảm thấy được chữa lành,mong rằng DaLAB sẽ ra thêm nhiều bài hát hay và ý nghĩa hơn nữa,chứ em mê nhạc của team quá ạaaaa",0,2025-06-30T09:39:28Z,0
@HaNguyen-im5mv,Z1D26z9l8y8,kh,0,2025-06-30T08:42:09Z,0
@TrangTran-fd5qs,Z1D26z9l8y8,Có bản hit thứ 2 r ❤,0,2025-06-29T23:34:36Z,2
@nguyenminhthu4968,Z1D26z9l8y8,Gửi cậu.,0,2025-06-29T15:00:18Z,0
@hoathinhvuinhon2024,Z1D26z9l8y8,"Đã li hôn 3 năm, mọi thứ như vừa diễn ra hôm qua. Em giờ đã có bầu trời mới. Còn tôi em không phải tình đầu nhưng đã là tình cuối. Từ nay ai cũng có bầu trời mới chỉ là tôi với bầu trời của chính tôi.",0,2025-06-29T12:55:13Z,0
@TrườngTrần-d3w,Z1D26z9l8y8,❤️,0,2025-06-29T05:23:11Z,0
@Junwoo_vsbet,Z1D26z9l8y8,Nghe vẫn bồi hồi quá,1,2025-06-28T00:36:26Z,0
@nengan1664,Z1D26z9l8y8,khóc.,1,2025-06-27T16:52:16Z,0
@itzhikky6408,Z1D26z9l8y8,"Chúc cậu sẽ sớm tìm được bầu trời mới cho riêng mình,mọi thứ rồi sẽ ổn thôi -27/6/2025",1,2025-06-27T13:32:30Z,0
@tranghongdrama9245,Z1D26z9l8y8,Tự dưng nhớ cấp 2,0,2025-06-27T01:33:26Z,0
@anduitu,Z1D26z9l8y8,Tại sao credit để tên ko ghi tiếng Việt??,0,2025-06-26T11:35:42Z,1
@laiphuclong3628,Z1D26z9l8y8,hay,1,2025-06-25T23:44:29Z,0
@Catsdogvietnam,Z1D26z9l8y8,Nhạc dalab nghe cứ hay kỷ niệm kiểu gì ấy nhỉ 😊 bài này với bài ft với miu lê hay quá trời mình thích 2 bài này của dalab nhất😊,1,2025-06-24T20:15:53Z,0
@fexterm4390,Z1D26z9l8y8,Nghe như bài nhạc nhật gì ấy nhỉ,0,2025-06-24T16:06:56Z,0
@12giahanphan38,Z1D26z9l8y8,"Mong là bạn ấy của mình sẽ có một bầu trời mới tốt hơn mình gấp ngàn lần, bù đắp lại tháng ngày bạn ấy phải chịu đựng mình, 
luôn hạnh phúc nhé!",0,2025-06-23T13:51:33Z,0
@KhanhNguyen-wr8qf,Z1D26z9l8y8,Giọng Dương hát bài này đỉnh dã man,0,2025-06-21T04:27:12Z,0
@thaohoatt6775,Z1D26z9l8y8,"3 năm 3 tháng từ khi mình biến mất sau khi nói lời chia tay, chúng mình hẹn gặp lại. Không phải là nơi chứa biết bao kỷ niệm của 2 đứa, mà chính là ở miền đất mà mình mượn khoảng cách để quên đi bạn ấy.
Thật sự mình đã có bầu trời mới, nhưng mình cảm nhận được nỗi buồn sâu thẳm, dù thời gian đã xoa dịu cảm xúc nhưng mọi thứ của quá khứ ấy vẫn thật đáng để trân trọng. Cả 2 đứa đã vô cùng đau khổ, mình đã mất 6 tháng khóc cạn nước mắt và cảm xúc, cứ khóc đến khi không thể khóc được nữa, rồi cũng quên, quên bằng cách ‘chạy thật nhanh, đi thật xa’. Giờ khi cảm giác mọi thứ đã ổn định thì mình quyết định gặp lại bạn ấy, bao nhiêu quá khứ trở lại, bọn mình không còn hồ hởi và nồng nhiệt như ngày ấy nữa, chỉ lắng đọng và bình tĩnh cảm nhận sự hiện diện của đối phương sau ngần ấy thời gian. Mình thật sự đã có bầu trời mới, nhưng nghĩ lại quá khứ ấy mình lại buồn. Bạn ấy vẫn nuôi hi vọng tìm thấy mình một lần nữa, nhưng có lẽ không còn thời gian nữa rồi. Mình cũng hạnh phúc với mối quan hệ hiện tại, nhưng cứ ngoảnh lại thấy người cũ và quá khứ thì mình lại buồn, buồn vì thấy mình đã khiến người khác buồn. Đau lòng!",0,2025-06-21T02:25:59Z,0
@gianghoang7834,Z1D26z9l8y8,Đây là cái kết của Con Cá Con Chim nhé bà con! :D,0,2025-06-21T01:34:50Z,0
@ucnguyen-bn6dl,Z1D26z9l8y8,"trung bình chó: ""em giờ đã có bầu...""",0,2025-06-20T13:49:51Z,0
@ytktqs,Z1D26z9l8y8,Ngày xưa mình có nhiều đứa bạn và có nhiều đứa con gái mình thích thầm nhưng trong tương lai gần chắc mình sẽ gia nhập Quân Đội và làm 1 người lính và quá khứ ấy sẽ khó phai với mình . Mỗi người đều có một hướng đi riêng và mình cũng vậy .,0,2025-06-19T16:37:25Z,0
@olitz203,Z1D26z9l8y8,"Không liên quan nhưng có ai biết tên của anh chị nhân vật chính trong mv này không ạ, cho mình xin ạ",0,2025-06-19T15:17:08Z,0
@NguyenPhamKhanhLinh_,Z1D26z9l8y8,Em đã replayyyy 10 lần gòuuyyyyy ❤ quá nghiện,0,2025-06-19T04:03:56Z,0
@LonCon-c6b,Z1D26z9l8y8,đoạn cào rap hay vl mà ko thấy ai cover,0,2025-06-14T15:04:20Z,0
@trantuyet9195,Z1D26z9l8y8,Cho mình hỏi có ai biết bạn nam chính trong MV tên gì không ạ. Thích nét của bạn ấy quá,0,2025-06-14T08:57:48Z,0
@toncraftf.a8173,Z1D26z9l8y8,"Muốn kể câu chuyện của bản thân, nhưng có lẽ vẫn chưa là gì so với vô vàn tâm sự được trải lòng dưới comment, thôi vậy",0,2025-06-13T07:13:07Z,0
@lucart3583,Z1D26z9l8y8,Nghe mà mình lạc vào bộ anime nào đó vậy. Nhạc hay lắm ạ🎉,0,2025-06-12T03:52:08Z,0
@GiaHânĐinh-l6s,Z1D26z9l8y8,vẫn cảm xúc như lúc mới ra mắt❤,0,2025-06-11T07:03:21Z,0
@linhle-jm2vl,Z1D26z9l8y8,"Nhạc của Da Lab luôn mang trong mình sự nhiệt huyết, khích lệ rất tuyệt vời. Dù hơi trễ nhưng đây là lần đầu tiên mình nghe bài hát này, và mình đã replay 5 lần. 
P/S giọng bạn nữ cũng rất hay, tiếc là k xuất hiện trong video nhỉ..",0,2025-06-11T02:50:37Z,0
@Tuanbingo2010,Z1D26z9l8y8,hayyy🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤,0,2025-06-09T06:38:08Z,0
@lucifer4542,Z1D26z9l8y8,"với mọi người thì bài này có lẽ gắn liền với tình yêu kỉ niệm nhưng với mình bài này gắn liền với màu áo xanh quân đội gắn liền với mơ ước dở dang kì thi THPT2024. Hẹn màu áo sĩ quan quân đội sau khi tôi xog đại học, mãi một tình yêu",0,2025-06-09T04:25:51Z,0
@ÓcĐĩ-m1g,Z1D26z9l8y8,Up ❤❤,0,2025-06-08T10:36:37Z,0
@ngoclan7225,Z1D26z9l8y8,Ôi động lực của cháu trong thời gian ôn thi này😜,0,2025-06-08T10:28:54Z,0
@nguyenbich8668,Z1D26z9l8y8,Mấy bài nhạc của Dalab nghe như nhiều bài hát hay khác nhau ghép lại vậy chứ không phải cứ 1 đoạn làm đi làm lại hoài. Cảm giác nghe đi nghe lại hoài mà vẫn thấy mới mẻ,2,2025-06-08T06:06:29Z,0
@giophuongbac4165,Z1D26z9l8y8,1.25 lên nghe hay phết mn ạ,1,2025-06-06T10:39:42Z,0
@daodung6274,Z1D26z9l8y8,Có ai hát bài chia tay trg đám cưới chx 🤯❤️‍🔥,0,2025-06-06T08:48:29Z,0
@ducanhnguyen8538,Z1D26z9l8y8,"Mình và chị bên nhau 3 năm, ngày mình gặp chị cũng là lúc trái tim mình không còn thuộc về lí trí nữa, cùng nhau làm mọi thứ, mình thấy tất cả dáng vẻ của chị từ xinh đẹp nhất đến dáng vẻ của chị khi mới ngủ dậy, bọn mình chưa từng là người yêu, vì mình rất nhát nên tất cả thứ mình làm cùng chị đều là lần đầu, chỉ tiếc rằng mình chưa từng nói ra rằng mình thích chị. Giờ cũng đã 2 năm kể từ khi mình và chị không còn thân thiết nữa, chị có người ở bên rồi, chị hạnh phúc mình vui lắm nhưng luyến tiếc và buồn bã vẫn còn. Luôn tự hỏi liệu lúc đó mình không nói ra hết có đúng không, nhưng giờ hối tiếc cũng không thể quay lại thời gian, chỉ mong chị hạnh phúc mãi mãi.",6,2025-06-05T17:25:40Z,0
@duonghongthuytien7370,Z1D26z9l8y8,hayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy,0,2025-06-05T13:49:21Z,0
@HanhNguyen-n1x,Z1D26z9l8y8,Cảm ơi dalab về quê em❤❤,0,2025-06-04T23:41:39Z,0
@Annie-vx8fx,Z1D26z9l8y8,hay,0,2025-06-04T10:42:27Z,0
@heian17,Z1D26z9l8y8,"日本語歌詞（by Heather）

夜明けに目を覚まして
アラーム鳴っても 誰も見えない
もう心が疲れてしまった
結局は前に進めない
君は新しい空見つけた
僕はまだ恋 探してるんだ
早く 遠く 走って忘れて
目の前には君がいる
君は新しい空見つけた
僕が星空の中 迷ってるんだ
抱いた夢 思い出さないで
いつか すれ違うから　君と
夜明けにあの夢がやってく
君の声 今も聞こえる
風が雲を吹き飛ばして
二人のいない 輝く空へ
君が歩む道は
僕とは交わらぬ
誰かに微笑んだ君
夢の中 色褪せた

君は新しい空見つけた
僕はまだ恋探してるんだ
早く 遠く走って忘れて
目の前には君がいる
君は新しい空見つけた
僕が星空の中 迷ってるんだ
抱いた夢 思い出せないで
いつか すれ違うかな 君と
ね僕の空も 僕の世界も
昔のように戻れないだろう
夜か昼かわからなくて
花も草も迷ってるの
君は新しい空見つけた
僕は星空の中 迷ってるんだ
抱いた夢 思い出せないで
いつか すれ違ったら笑おう",0,2025-06-03T18:40:32Z,0
@leblancsnowdown3757,Z1D26z9l8y8,💛🩷,0,2025-06-03T17:06:05Z,0
@MyVũ-o2q,Z1D26z9l8y8,"nghe bài này nhớ cậu í quooo , hồi trc hè đi học nghe hoài 💙",0,2025-06-03T11:12:21Z,0
@keluoibieng05,Z1D26z9l8y8,"Đã từng đơn phương, đã từng đánh mất 1 người yêu mình thật lòng. Bây giờ việc mình có thể làm là chúc họ hạnh phúc bên người mới, bản thân mình cũng đã quen với cô đơn, nhưng nhiều lúc nghe những bản nhạc như thế này lại khiến bản thân nhớ về 2 mối tình đó và có lẽ hiện tại chắc họ cũng đã dần lãng quên bản thân mình, chính vì vẫn còn nhớ về họ nên mình chưa sẵn sàng mở trái tim một lần nữa. Mình để lại cmt này nếu tương lai có vô tình thấy lại thì mình chỉ muốn hỏi bản thân là bây giờ cậu thế nào rồi, đã tìm được người mà bản thân sẽ dành trọn cả cuộc đời cho họ chưa?",1,2025-06-02T14:05:09Z,0
@TumaDat,Z1D26z9l8y8,"Anh nhớ em lắm, NMC à",0,2025-06-01T16:05:12Z,0
@miz8161,Z1D26z9l8y8,Suy vcl dcm,0,2025-06-01T12:07:35Z,0
@Tieu_Kieu,Z1D26z9l8y8,Nguyễn Bảo Chinh mang tôi tới đây ❤,0,2025-05-30T10:25:55Z,0
@vietanhtran5729,Z1D26z9l8y8,Nghe lại khi biết tin người ấy đã lấy chồng =))))),0,2025-05-30T05:50:47Z,0
@hoangcuongg1204,Z1D26z9l8y8,"2:43 - Đỉnh

Ai đưa tay như đang níu lấy hoa phai đang rơi
Chuyện tình buồn quên rồi trong sương đêm sang mai, ai mang phơi
Sao vang nghe bên tai âm thanh như ai đang kêu tên ai
Ngỡ như anh vẫn còn cảm thấy hơi thở của em sau vai
Em ngọt ngào nhưng lại làm anh mất ngủ như một ly nâu
Lồng ngực cháy bỏng vì em mỗi khi anh lại hít một hơi sâu
Bản nhạc ngày đó ta nghe Thanh Bùi hát mãi Tình Về Nơi Đâu 2014 nhìn vào mắt em anh nghĩ mình sẽ trọn đời bên nhau
Người mơ sông núi người mơ bầu trời chỉ có mình anh là muốn cạnh em trọn đời anh đã không biết mà cứ bước tiếp đến khi anh thấy bàn chân rệu rời là lúc anh biết nhịp đập của con tim anh đang sai
Anh biết đến lúc dừng lại mong em hạnh phúc khi đi bên ai
Hoà mình vào dòng người để không ai thấy được mình cô đơn
Đôi lúc anh nở nụ cười lại thấy sâu thẳm trong mình đau hơn
Anh đưa mắt lên tự hỏi đâu đó bên dưới bầu trời xanh dương em đã tìm thấy cho mình những điều em mong hay vẫn chưa bước qua tháng ngày mưa tuôn",5,2025-05-30T04:49:18Z,1
@linhanhchu2333,Z1D26z9l8y8,em giờ đã có bầu...,2,2025-05-29T16:04:29Z,2
@BắcCao-w6p,Z1D26z9l8y8,Đoạn rap của Cào hay quá nhưng khó học thật,0,2025-05-29T14:03:13Z,0
@machendustin8441,Z1D26z9l8y8,có 1 khúc nhìn tưởng Văn Toàn đi đóng khog á:)) nhìn tưởng vay,0,2025-05-29T03:11:17Z,0
@thuhuong1443,Z1D26z9l8y8,: ),0,2025-05-28T23:20:15Z,0
@doanvien6873,Z1D26z9l8y8,Còn tui nè😂,0,2025-05-28T04:32:06Z,0
@nhubaby8220,Z1D26z9l8y8,Hay nha😮😮😮,0,2025-05-27T06:55:41Z,0
@HaiSieuNhan,Z1D26z9l8y8,"Hay quá, nghe trăm lần rồi",0,2025-05-25T12:09:12Z,0
@bumbie43,Z1D26z9l8y8,"lúc Da LAB mới ra m với người ấy đi xem hát live ở sự kiện oishi, cũng nửa năm trôi qua rồi, nhanh thật bọn mình giờ đã không còn ở cạnh nhau nữa. Giờ nghe lại bài này mình nhớ ktg vui vẻ ở cạnh nhau, cũng buồn thật nhưng biết sao giờ, bọn mình giờ đều có ""Bầu trời mới cả rồi"", biết đâu sau này lại gặp lại haha. Nếu có thể vẫn mong hai đứa mình vẫn có thể chào hỏi nhau đàng hoàng, cũng mong rằng tụi mình đều hạnh phúc và bình an.",2,2025-05-24T12:42:33Z,0
@hieunguyen-gc6mg,Z1D26z9l8y8,"Một bài hát mà chúng ta thấy chính mình trong đó, là thanh xuân là hối tiếc vì đã bỏ lỡ nhau 🥲",0,2025-05-23T06:18:17Z,0
@tiktokvietnam3987,Z1D26z9l8y8,"E nói : "" em đang khóc, em đau lắm"" nhưng anh vẫn chọn rời bỏ em. Anh luôn rời bỏ em khi em cần anh nhất",0,2025-05-22T15:46:49Z,0
@tiktokvietnam3987,Z1D26z9l8y8,"Mãi mãi là bao lâu ạ . Anh nói : "" em đừng ép anh"" , "" anh ko đáp ứng được yêu cầu của em"" . Thật ra là anh chưa từng yêu em 😊",0,2025-05-22T15:45:33Z,0
@MrHieuhn,Z1D26z9l8y8,"Tôi không có người yêu, nhưng nghe nhạc người luỵ là tôi🥹",0,2025-05-22T12:23:47Z,0
@JetBrain-v6y,Z1D26z9l8y8,"""đoạn đường mới đừng tìm lại"" nghĩa là gì?",1,2025-05-22T09:37:56Z,0
@HinhXuân-v8s,Z1D26z9l8y8,Mơck yui ser😅,0,2025-05-22T07:34:15Z,0
@HinhXuân-v8s,Z1D26z9l8y8,1:24 1:26 1:28 😅,0,2025-05-22T07:30:47Z,0
@kkkdr.,Z1D26z9l8y8,我台灣人，覺得這是首旋律很棒的越南歌，越南也有很多很棒的音樂👍👍👍,1,2025-05-21T18:30:59Z,0
@tuho4666,Z1D26z9l8y8,❤,0,2025-05-19T17:02:40Z,0
@tuananhnguyen-ih2sl,Z1D26z9l8y8,bây giờ anh lại đi tìm kiếm chính tình yêu anh đã tự đánh mất :)),0,2025-05-19T08:57:01Z,0
@BlackHeart-uy5bw,Z1D26z9l8y8,"Trước khi chia tay, cô ấy đã hát cho tôi nghe bài này lần cuối trước khi cả 2 chuẩn bị rời xa nhau mãi mãi
Dù đã rất lâu rồi, nhưng mỗi khi tôi mở lại bài này nghe, tôi không thể nào làm chủ được cảm xúc bản thân, mình đã khóc rất nhiều",0,2025-05-18T14:48:26Z,0
@Lưulysub,Z1D26z9l8y8,Hay quá Trâm ơi.Càng nghe càng cuốn nha,0,2025-05-18T08:38:49Z,0
@channelpeople4349,Z1D26z9l8y8,"Năm nay tớ và cậu cũng 30 rồi nhỉ. 11 năm trước chúng mình cũng trải qua thời thanh xuân rực rỡ như vậy nhưng thật tiếc khi tớ không giữ được cậu. Đến bây giờ tớ đã có những gì cậu từng hi vọng rồi nhưng ngoảnh lại thì đã 8 năm mình lạc mất nhau rồi. Tớ biết rằng cậu đã có bầu trời mới nhưng mảnh vỡ ký ức ấy sẽ là kỷ niệm thật khó quên, tớ biết cậu cũng vậy!",0,2025-05-17T16:36:10Z,1
@ThaivietNguyen-ft7mp,Z1D26z9l8y8,Em giờ đã có bầu,0,2025-05-17T15:25:00Z,0
@datquoc.012,Z1D26z9l8y8,"chắc sẽ kẹt mãi ở cái tình cảm này, sự trân trọng luôn thua vẻ bề ngoài hào nhoáng, lấp lánh ❤️‍🩹",0,2025-05-17T14:13:00Z,0
@_Channel-xd9iy,Z1D26z9l8y8,"Tôi nghe bài hát này mỗi ngày ở thành phố Niigata, tỉnh Niigata!",1,2025-05-17T00:42:19Z,0
@OanhTran-ki1ev,Z1D26z9l8y8,"ê nghe bài này nhớ về kì chuyển nhượng T1 năm ngoái gke , mọi chuyện thời điểm đó tệ thật , nhưng mà thật may mọi chuyện giờ ổn rồi😊",0,2025-05-16T17:39:08Z,0
